"Variable","Importance"
"slope_",22.2953861768979
"dominant_sp_",20.3816375507938
"entropy_",17.8375278958552
"shannon_41x41",12.3280473920352
"forestcover_",11.9147859128658
"twi_",8.06029948777125
"soil_",5.75147476290249
"aspect_",0.719857499301466
"elevation_",0.71098332157692
